中文名（ClassName） - 当前稀有度

觉醒者（Awakener） - 传说
克苏恩（Cthulhu） - 传说
命运（Fate） - 传说
四骑士（FourHorsemen） - 传说
神王（God） - 传说
终焉（Ragnarok） - 传说
剑仙（SwordSaint） - 传说
命运之轮（WheelOfFate） - 传说
狼王（WolfKing） - 传说
世界（World） - 传说
天穹裁决（SkyVerdict） - 传说
神圣降临（DivineDescent） - 传说
终焉审判（FinalJudgment） - 传说
超越天堂（BeyondHeaven） - combo
死亡骑士完全体（DeathKnightComplete） - combo
火巨龙（FireDragon） - combo
冰巨龙（IceDragon） - combo
菲尼克斯（Phoenix） - combo
雷达站（RadarStation） - combo
死亡骑士（DeathKnight） - 史诗
神迹（DivineResurrection） - 史诗
龙裔（Dragonborn） - 史诗
无人机（Drone） - 史诗
皇帝（Emperor） - 史诗
Forsaken（Forsaken） - 史诗
42（FourtyTwo） - 史诗
枪神（GunGod） - 史诗
第六感（ImposterSyndrome） - 史诗
无限增殖（InfiniteProliferation） - 史诗
十六夜（Izayoi） - 史诗
羁绊（Kinship） - 史诗
蚊子（Mosquito） - 史诗
彼岸（Nirvana） - 史诗
核弹泄露（NukeLeak） - 史诗
教皇（Pope） - 史诗
先知（Prophet） - 史诗
轮回（Reincarnation） - 史诗
皇家壁垒（RoyalBarrier） - 史诗
奇点（Singularity） - 史诗
光之剑：超新星（Supernova） - 史诗
军师（Tactician） - 史诗
饕餮（Taotie） - 史诗
泰坦陨落（Titanfall） - 史诗
虚无（Void） - 史诗
亚戈鲁（Yagorou） - 史诗
残影（Afterimage） - 稀有
狂战士（Berserker） - 稀有
小型黑洞（BlackHole） - 稀有
附骨之疽（BoneMaggot） - 稀有
C4专家（C4Expert） - 稀有
混沌风暴（ChaosStorm） - 稀有
连击（Combo） - 稀有
倒计时（Countdown） - 稀有
沙漠之鹰（DeagleKing） - 稀有
缴械（Disarm） - 稀有
天罚（DivinePunishment） - 稀有
巨龙之魂（DragonSoul） - 稀有
暮光（DuskDawn） - 稀有
女皇（Empress） - 稀有
闪避（Evasion） - 稀有
斐波那契（Fibonacci） - 稀有
炎魔（FireLord） - 稀有
愚者（Fool） - 稀有
前线巨兽（FrontlineBeast） - 稀有
巨人（Giant） - 稀有
暴食者（Glutton） - 稀有
神后（Goddess） - 稀有
黑洞（GravityWell） - 稀有
手雷王（GrenadeKing） - 稀有
守护天使（GuardianAngel） - 稀有
斩首（Guillotine） - 稀有
天堂（Heaven） - 稀有
隐者（Hermit） - 稀有
寒冰射线（IceBeam） - 稀有
骑士（Knight） - 稀有
激光牢笼（LaserCage） - 稀有
磁力脉冲（MagneticPulse） - 稀有
殉爆（Martyrdom） - 稀有
模仿大师（Mimic） - 稀有
死灵法师（Necromancer） - 稀有
夜光（Nightglow） - 稀有
痛觉转化（PainConverter） - 稀有
寄生（Parasite） - 稀有
鸡神（PlayAsChicken） - 稀有
祈愿（Prayer） - 稀有
集结（Rally） - 稀有
斥力场（RepulsionField） - 稀有
快手（ResetOnReload） - 稀有
涅槃（Respawn） - 稀有
遣返（ReturnToSender） - 稀有
因果倒置（ReverseCausality） - 稀有
轮盘赌徒（RouletteGambler） - 稀有
献祭（Sacrifice） - 稀有
卫星（Satellite） - 稀有
坚盾（Shield） - 稀有
天际（Skyline） - 稀有
烟雾克星（SmokeVision） - 稀有
狙击精英（SniperElite） - 稀有
噬魂者（SoulEater） - 稀有
猎杀快感（SpeedOnKill） - 稀有
心有灵犀（Synced） - 稀有
黄昏之时（Twilight） - 稀有
吸血鬼（Vampire） - 稀有
方向错乱（WASDChaos） - 稀有
白洞（WhiteHole） - 稀有
肾上腺素（Adrenaline） - 普通
琥珀（Amber） - 普通
解剖学家（Anatomist） - 普通
银行（Bank） - 普通
赏金猎人（Bounty） - 普通
冲锋号（Bugle） - 普通
资本家（Capitalist） - 普通
日冕（Corona） - 普通
蹲伏（Crouch） - 普通
丘比特（Cupid） - 普通
怨念（Curse） - 普通
刺客信条（Cutter） - 普通
毁灭之力（DamageMultiplier） - 普通
死手（DeadHand） - 普通
失聪（Deaf） - 普通
假人诱饵（DecoyDummy） - 普通
回音（Echo） - 普通
月蚀（Eclipse） - 普通
进化（Evolution） - 普通
火球术（Fireball） - 普通
迷雾行者（FogOfWar） - 普通
霜之哀伤（Frostmourne） - 普通
大地母亲（Gaia） - 普通
石像（Gargoyle） - 普通
绝命枪师（GunHealer） - 普通
倒吊者（HangedMan） - 普通
千钧（HighGravity） - 普通
烫手山芋（HotPotato） - 普通
疾风步（IncreaseSpeed） - 普通
无限火力（InfiniteAmmo） - 普通
信息黑洞（InfoHole） - 普通
铁头功（IronHead） - 普通
干扰器（Jammer） - 普通
小丑（Jester） - 普通
跳跳糖（JumpHeal） - 普通
因果报应（Karma） - 普通
最后一发（LastStand） - 普通
高利贷（LoanShark） - 普通
闪光大师（LongerFlashes） - 普通
彩票（Lottery） - 普通
幸运星（Lucky） - 普通
吝啬鬼（Miser） - 普通
哑火（NoExplosives） - 普通
铁腕（NoRecoil） - 普通
红温（Overheat） - 普通
圣骑士（Paladin） - 普通
以牙还牙（Payback） - 普通
扒窃（Pickpocket） - 普通
手枪大师（PistolMaster） - 普通
瘟疫（Plague） - 普通
淬毒之刃（PoisonBlade） - 普通
牧师（Priest） - 普通
雷达干扰（RadarJammer） - 普通
赎罪（Redemption） - 普通
生命之泉（Regeneration） - 普通
换弹窗口（ReloadGap） - 普通
牺牲（SacrificeSelf） - 普通
影子武士（ShadowWarrior） - 普通
狡猾狐狸（SlyFox） - 普通
迷雾逃生（SmokeBomb） - 普通
忒尼尔（Teneril） - 普通
魔镜（Thorns） - 普通
雷劫（ThunderChain） - 普通
致命毒雾（ToxicSmoke） - 普通
叛徒（Traitor） - 普通
诡术师（Trickster） - 普通
武器轮盘（WeaponRoulette） - 普通
狼（Wolf） - 普通
